target,vessel_definition_count,target_median_um_min,target_median_um_max,within_50um_min,within_50um_max,within_100um_min,within_100um_max
LAG-3,6,8.619954438555906,23.122384457152837,0.8470853752901728,0.9876966726850658,0.9474335826670106,0.9988908950219242
PD-1,6,8.696842756087793,22.71162067012133,0.8687681796658324,0.991493607522154,0.955371034296151,0.9992897246837584
PD-L1,6,6.999251838543887,26.68178214174649,0.776103129810159,0.9789635710620832,0.8957157516675218,0.9981400718317086
VISTA,6,7.34863638133219,19.35434702558901,0.8758700617430378,0.989657532853938,0.9578574962554304,0.9990511498031136
