pathology_region,cells,endothelial_score_median,endothelial_score_q90,vessel_positive_median,vessel_positive_q90,distance_to_vessel_um_median,distance_to_vessel_um_q90,caf_score_median,caf_score_q90,local_caf_score_median,local_caf_score_q90,immune_score_median,immune_score_q90,epithelial_malignant_score_median,epithelial_malignant_score_q90
Tumor,332823,0.06826127928847389,0.36757303003753616,0.0,1.0,14.910608580086526,43.041072572611675,0.3046258548207736,0.49368549960574365,0.31221465297413903,0.41450576178853216,0.20328566408572285,0.37348014708637506,0.13941664917565036,0.3135924139385556
Immune infiltration,93847,0.0,0.30704542873932233,0.0,1.0,15.721896099505344,46.92528838664276,0.17273930859232847,0.32155250168890726,0.18563923631098703,0.2539891940997423,0.22377905080797747,0.3572972299785519,0.08464021921406073,0.1555527659479202
UNANNOTATED,35479,0.06398950620245387,0.4222243393482665,0.0,1.0,12.376482703750288,30.66349407102103,0.20101760637257238,0.3863753269478591,0.2144732950856152,0.3015810793577563,0.17945325864785927,0.34999205917069176,0.09878892352922075,0.1852331950716373
Immune infiltration|Tumor,1667,0.06398950620245387,0.3064827445317718,0.0,1.0,12.370332227707802,23.302207082208824,0.1626018958966465,0.3060478432565069,0.1685743395839039,0.24422868131002634,0.26249362604608656,0.39674212692199406,0.09513822704541197,0.1708488610076607
Necrosis|Tumor,1299,0.0,0.10142096777055323,0.0,0.0,127.1321391733235,193.11771501014576,0.10931584331979645,0.25642074706507884,0.11892910815750142,0.21961105766594333,0.234918364995154,0.3567547562738023,0.15574956783592456,0.35124833954310164
Adipose tissue,419,0.06398950620245387,0.5654955536267353,0.0,1.0,14.525766195350888,124.28242257055193,0.2927891975409569,0.4756966882348663,0.3060951464793828,0.3518801089861147,0.0854352102533748,0.3802010030151444,0.13181035361579072,0.21923347094754395
