target,subset,cells,h5_positive_fraction,image_positive_fraction,both_positive_fraction,h5_only_fraction,image_only_fraction,both_positive_median_distance_um,median_alphaSMA_15um_both_positive,median_vimentin_15um_both_positive
PD-L1,all_cells,465534,0.03897030077287588,0.02346122946981316,0.018913763548956682,0.0200565372239192,0.004547465920856478,24.041630560342615,0.998418927192688,20.493497848510742
PD-L1,tumour_region,335789,0.04643392130176986,0.02907778396552597,0.023511788652993398,0.022922132648776464,0.0055659953125325725,24.041630560342615,1.0330393314361572,21.513446807861328
PD-L1,immune_high,3441,0.36965998256320837,0.25544899738448124,0.24120895088637023,0.12845103167683813,0.014240046498111014,21.770622407271684,0.8976642191410065,18.603877067565918
PD-L1,malignant_proxy,91300,0.03231106243154436,0.021686746987951807,0.017174151150054766,0.015136911281489595,0.004512595837897043,37.783691537966554,0.896652102470398,23.25572109222412
VISTA,all_cells,465534,0.4517929947114496,0.07414281234023723,0.0715114255886788,0.38028156912277084,0.002631386751558425,15.20526224699857,1.339406132698059,17.61875343322754
VISTA,tumour_region,335789,0.439403911384828,0.06088644952633946,0.05936466054575939,0.3800392508390686,0.0015217889805800666,15.20526224699857,1.8984145522117615,23.386062622070312
VISTA,immune_high,3441,0.5727986050566696,0.12409183376925312,0.12380122057541412,0.4489973844812554,0.0002906131938390003,20.681392603013943,0.9434307813644409,17.772354125976562
VISTA,malignant_proxy,91300,0.3045892661555312,0.0356407447973713,0.03443592552026287,0.27015334063526836,0.0012048192771084338,18.309560344257314,1.6426643133163452,24.0052433013916
