channel,ome_channel_index,pyramid_level,level_pixel_size_um,baseline_mode,qc_mask_fraction,h5_robust_otsu_threshold,h5_positive_fraction,image_threshold_at_0_5pct_negative_tail,image_positive_fraction,image_false_positive_rate,image_true_positive_rate,cell_image_spearman,background_spearman_all,background_spearman_low_signal,source_sha256
CD31,28,4,3.4,99.0,0.0,0.330078125,0.29559387713894153,108.77777862548828,0.08047317703970064,0.004857818098650606,0.260666090153987,0.7613623000077887,0.24008557623386867,0.18586557610823765,cf76dcb54e4893fdded3346b7b9987e8885cb78a088ec0349234f19506fce73a
alphaSMA,32,4,3.4,99.0,0.0,0.326171875,0.4165882620818243,106.22222137451172,0.085899203924955,0.0049558538722671,0.1992564557379754,0.8363821139124399,0.23850537721091894,0.2427760580418017,e0253e5fe109dae90b72d37384da3b01523e4e107087127af0b2c11f9ef54b5d
Vimentin,31,4,3.4,99.0,0.0,0.474609375,0.6385634561600226,139.11111450195312,0.12274291458840815,0.004998187339906455,0.18938820545424576,0.8531588134556918,0.2802475954532514,0.3336378589474946,8363e5c5d8877dfa1c585f8019f3cee7598ad95f4d604b6c531cc416ee109ce5
PanCK,30,4,3.4,98.0,0.0,0.345703125,0.08275657631880808,104.11111450195312,0.0409379336417963,0.004871103117505995,0.44068940455796085,0.4761356830771847,-0.2097789936022364,-0.2674194688233802,fe314d9bceafe097057cfd244d615d5a8ce0cc51bb8b24f4b11c92a122842c5c
PD-L1,21,4,3.4,99.0,1.56128024980484e-06,0.373046875,0.03897030077287588,100.22222137451172,0.02346122946981316,0.004731868249767542,0.48533788997905414,0.33427480709591373,0.10200125229084868,,aeb8b9a2ab37cf2ed93a5686da215e0dad8831528c19c386b026a4b3d9fda16f
VISTA,20,4,3.4,99.0,1.56128024980484e-06,0.330078125,0.4517929947114496,105.88888549804688,0.07414281234023723,0.004799987461257244,0.15828360870082017,0.8115898424989324,0.23116229202365143,0.22089528794221144,6f61ec4699e70db5da2f1276e0e66432410854ba892039cd599c184e339ea100
