target,tumour_positive_fraction,top_rank_probability,median_rank,rank_q05,rank_q95,proxy_score_median,proxy_score_q05,proxy_score_q95
VISTA,0.439403911384828,0.98525,1.0,1.0,1.0,0.994995274039777,0.8529944978025285,1.0
PD-1,0.1760986810169481,0.00895,2.0,2.0,4.0,0.4625578656422733,0.14096871896402213,0.8172052326502154
PD-L1,0.0464339213017698,0.0058,4.0,2.0,4.0,0.08364998280228503,0.0,0.6063769900072207
LAG-3,0.2309188210453588,0.0,3.0,2.0,3.0,0.4651926334438127,0.19547147711130947,0.6417549168816873
