annotation,area_mm2
Adipose tissue,4.065945439783576
Blood vessels,2.1263575528517227
Hemorrhage,1.365335104984017
Immune infiltration,8.583279299502943
Necrosis,0.20506878169480455
Tumor,53.32359312540495
