target,spearman_raw_signal,protein_nonzero_fraction,rna_nonzero_fraction,nonzero_jaccard,protein_positive_rna_zero_fraction,rna_positive_protein_zero_fraction
PD-L1,0.021969636284067253,0.04293563950216311,0.038123960870741984,0.03157376780295782,0.04045461770783659,0.03564293907641547
VISTA,0.10976418755090254,0.5368415625926356,0.21828266034274618,0.21403508771929824,0.40371272560113763,0.08515382335124824
PD-1,0.1683375184017383,0.16000979520292824,0.031329612874677254,0.08767324012454973,0.1445866467325695,0.01590646440431848
LAG-3,0.247456776209244,0.2268040572761603,0.07789334398776458,0.16001799149492968,0.18477275558820624,0.03586204229981054
